"id","code","name","parent_id:id","type","user_type:id","reconcile"
"45","45","Rezervy","4","view","account_type_view","FALSE"
"451","451","Rezervy podle zvláštních právních předpisů","45","other","account_type_current_liabilities","FALSE"
"453","453","Rezerva na daň z příjmů","45","other","account_type_current_liabilities","FALSE"
"459","459","Ostatní rezervy","45","other","account_type_current_liabilities","FALSE"

"46","46","Dlouhodobé bankovní úvěry","4","view","account_type_view","FALSE"
"460","460","Bankovní úvěry","46","other","account_type_current_liabilities","FALSE"

"47","47","Dlouhodobé závazky","4","view","account_type_view","FALSE"
"471","471","Dlouhodobé závazky k ovládaným a řízeným osobám","47","other","account_type_current_liabilities","FALSE"
"472","472","Dlouhodobé závazky k účetním jednotkám pod podstatným vlivem","47","other","account_type_current_liabilities","FALSE"
"473","473","Emitované dluhopisy","47","other","account_type_current_liabilities","FALSE"
"474","474","Závazky z pronájmu","47","other","account_type_current_liabilities","FALSE"
"475","475","Dlouhodobé přijaté zálohy","47","other","account_type_current_liabilities","FALSE"
"478","478","Dlouhodobé směnky k úhradě","47","other","account_type_current_liabilities","FALSE"
"479","479","Jiné dlouhodobé závazky","47","other","account_type_current_liabilities","FALSE"

"48","48","Odložený daňový závazek a pohledávka","4","view","account_type_view","FALSE"
"481","481","Odložený daňový závazek a pohledávka","48","other","account_type_current_liabilities","FALSE"

"49","49","Individuální podnikatel","4","view","account_type_view","FALSE"
"491","491","Účet individuálního podnikatele","49","other","account_type_current_liabilities","FALSE"

"5","5","Náklady","account_template_root","view","account_type_view","FALSE"

"50","50","Spotřebované nákupy","5","view","account_type_view","FALSE"
"501","501","Spotřeba materiálu","50","other","account_type_expense","FALSE"
"502","502","Spotřeba energie","50","other","account_type_expense","FALSE"
"503","503","Spotřeba ostatních neskladovatelných dodávek","50","other","account_type_expense","FALSE"
"504","504","Prodané zboží","50","other","account_type_expense","FALSE"

"51","51","Služby","5","view","account_type_view","FALSE"
"511","511","Opravy a udržování","51","other","account_type_expense","FALSE"
"512","512","Cestovné","51","other","account_type_expense","FALSE"
"513","513","Náklady na reprezentaci","51","other","account_type_expense","FALSE"
"518","518","Ostatní služby","51","other","account_type_expense","FALSE"

"52","52","Osobní náklady","5","view","account_type_view","FALSE"
"521","521","Mzdové náklady","52","other","account_type_expense","FALSE"
"522","522","Příjmy společníků a členů družstva ze závislé činnosti","52","other","account_type_expense","FALSE"
"523","523","Odměny členům orgánu společnosti a družstva","52","other","account_type_expense","FALSE"
"524","524","Zákonné sociální pojištění","52","other","account_type_expense","FALSE"
"525","525","Ostatní sociální pojištění","52","other","account_type_expense","FALSE"
"526","526","Sociální náklady individuálního podnikatele","52","other","account_type_expense","FALSE"
"527","527","Zákonné sociální náklady","52","other","account_type_expense","FALSE"
"528","528","Ostatní sociální náklady","52","other","account_type_expense","FALSE"

"53","53","Daně a poplatky","5","view","account_type_view","FALSE"
"531","531","Daň silniční","53","other","account_type_expense","FALSE"
"532","532","Daň z nemovitostí","53","other","account_type_expense","FALSE"
"538","538","Ostatní daně a poplatky","53","other","account_type_expense","FALSE"

"54","54","Jiné provozní náklady","5","view","account_type_view","FALSE"
"541","541","Zůstatková cena prodaného dlouhodobého nehmotného a hmotného majetku","54","other","account_type_expense","FALSE"
"542","542","Prodaný materiál","54","other","account_type_expense","FALSE"
"543","543","Dary","54","other","account_type_expense","FALSE"
"544","544","Smluvní pokuty a úroky z prodlení","54","other","account_type_expense","FALSE"
"545","545","Ostatní pokuty a penále","54","other","account_type_expense","FALSE"
"546","546","Odpis pohledávky","54","other","account_type_expense","FALSE"
"548","548","Ostatní provozní náklady","54","other","account_type_expense","FALSE"
"549","549","Manka a škody z provozní činnosti","54","other","account_type_expense","FALSE"

"55","55","Odpisy, rezervy, komplexní náklady príštích období a opravné položky provozních nákladů","5","view","account_type_view","FALSE"
"551","551","Odpisy dlouhodobého nehmotného a hmotného majetku","55","other","account_type_expense","FALSE"
"552","552","Tvorba a zúčtování rezerv podle zvláštních právních předpisů","55","other","account_type_expense","FALSE"
"554","554","Tvorba a zúctování ostatních rezerv","55","other","account_type_expense","FALSE"
"555","555","Tvorba a zúctování komplexních nákladů příštích období","55","other","account_type_expense","FALSE"
